Amir,1,5 MAD,Tails,xxxthxhxtxththhhthttthxhthtthxxhhttxxxxhtxxttthtxthhtxtttththtxthttthtxhththhhthhhhhhxhtxhhhhtthxththhhhhhthhttthtxhhhxhhtht
Amir,74,0.5 NZD,Tails,hxxhththttttthhttthhthxtxtthhthttttttxhhtttthhxhhthxhtthttttxhxthhttxhhhtttxhhttxhhhhhtttththhhhhhxxthhhtththhhttt
Amir,75,0.5 NZD,Tails,thtxttthhxththtthhtttthhhxxhxhhhthttttthxhtxthtxhtththxhttthhhtthxthttththtthttthtxtththhhhxtxthhhttthhhhthtthtxth
Amir,76,0.5 NZD,Tails,hhhthhhhthxttxxhtthxhhhhthttthxtxhhxhthxxhthhxhtthhthtttthxttthhxthxhhtxttxhhxxhhhttxhhhhhxtthhhhhhhthtthxxxhhthttxtxttthhxtht
Amir,77,0.5 NZD,Heads,hhhhthhttthxhtththhxhthtthhththhthhhttthhhhttxhhxtthhtxhhhthxthttttxtxtthtthhhhhtttthtxxttththhhthhxttxthhthxttth
Amir,78,0.5 NZD,Heads,hhhhhtxthttthxxhththhthtxhhxhhtxhtxtthththttthtxhthtxxtxttthxtxthxhttxttxhththxthhhtxhthxxhhxhxttthhhhttxtthhxtthtthtxtttttth
Amir,79,0.5 NZD,Tails,hhttththhhhtttthxtxtthhtttxhhhtxhhttxththtxxhhhhhhtthtththtxhthtxhhhxthhhhhhhhttththttthhxhttthhhhhthxthxhththxhxht
Amir,80,0.5 NZD,Tails,xthhtxttthtttttthtththhtthhhhttttxtxtththtttttthhthttthtxhthxhhhththttxthxxhhhhhtttxhtthxtxtttxttttthhththhttxttht
Amir,81,0.5 EUR,Tails,ttththttxhthhthxthtxhthhthtxtthttthtxhhhhhxhhhhttxthxxhhtthttththhxtttthxttthhhhhttththhhhhxhthhtxttthhhhxhtthtttt
Amir,82,0.5 EUR,Heads,tththhxhtthxthxxthtxthhttthttxhxhtththttttthttththtxththtththtxhxhhtttthtxhhtxhththhtththhhttxththhhhxtthhthhhtxtth
Amir,83,0.5 EUR,Tails,ttttxhtthxthttxhhttthxhthhthtttththxhxttththhthhxtththhttttthhthhxhxhhhthhhththtthtthhttththhhththhxhhtththhht
Amir,84,0.5 EUR,Heads,txxhhxhhhtttxhthhxhxhttthttxhtxhtxhthhhhthhhthtxthhthhhthtthhhtttxthtthtttxthhtttttttththhhththhxxthhhthhthttthtxhh
Amir,85,0.5 EUR,Tails,txhthhxttxttxxthtththtthhthxhxhhhhthhhhhthhhhtthtxhhhttthhxtxhhtxhhtththhhhxhxthhhthththtthxhththhthhtththttththxhh
Amir,86,0.5 EUR,Tails,ttttthttthhthttthhhhxhhththhthhhthhhhxtthhhxxhtthxhtthhthththhhhhtxhxtttthhtthxxhtththtttxhhhhhtthxthttthhhhhth
Amir,87,0.5 EUR,Tails,thhththttttthtxhxhhthhttttxxttthxtththttthttttxxtththtththhxhtthttthhhthhtxthhhtthhhtththtthhxhhhxthhhhhtthxtthh
Amir,88,0.5 EUR,Tails,tththhhhxthhhhttxthhtttthxhttttxthhtxthhxtxttthtthxhhtthhhthhxhthhthhhtttthttthhttttththththhhttthhhthththxtxxhh
Amir,89,0.5 EUR,Heads,txhhhtthtthhxtxhthhhhhhthtthhxtttxhhthxhtxtxtxhhtxxhhttthhthtthhhhttxhhhtxhhttttthhthhthhhhtthhthhhtxtttththxhttttxh
Amir,90,0.5 EUR,Heads,hthhthxhhhttthxthttxttttthhhththhtthhhthttxxhhhhxhttthththhtthhthhtththhhhthhhtthhhhhtthhhhthttthtxhhtthhht
Amir,91,1 EUR,Tails,tththhtttttttthhhtthhtthhthxhtthhtthhhtththhhhhhhhhhttttthhhhhttttttttxhhhtxhhxhhhhhttthttthththhttthhtt
Amir,92,1 EUR,Tails,hhhxttthhxthhthhththhttxhthhhthtxhthtthxthhhhhtthhxhtthxtthhtthhhhthhttthtththtttthhhhthtthxhhhthhtxtththhhtxh
Amir,93,1 EUR,Heads,ttthhthttthxhhttthhthhhtthtttthhthhtththtxthxxthxtthththhththhtthtttthhthhtthhthhthxhtthhhthhhtthtttththtt
Amir,94,1 EUR,Heads,thhhththtthhthhththxthhthtxthhhthhthhthhthhtxhthxtthhhthhtththtthhhhxhthxhtthhhhthhththhthhtthhtttththhxhhh
Amir,95,1 EUR,Heads,hxthtthtthxtttthhhhxtththhhththhxhtxththhthththtthhxhtththhththhtthtththhttthtththhxthtthhhthxhtththththhtth
Amir,96,1 EUR,Heads,httththtttththttthththhtxthhthhthhhttttthxththhtthtthhhtttthxtththtttxhhttttxhttththhhttxhhtthhhththxthhhhh
Amir,97,1 EUR,Tails,thttthtttthhtttthtththttthhhtthtxxtttttthtthxttththtttttthhhtthhhxthhthhhhhhhhtthhtxthhxhththhxhhhhtthhthth
Amir,98,1 EUR,Heads,hxthhhhttthhthhttththtthhhttttttttthtttxthtxtthtxhxthhttthhxthxttxhhhhhtttxthtthhtxthttthtthxthxhthhthtthhthhtth
Amir,99,1 EUR,Tails,ttthhhtthhhhtthxhtttthtthhthtttxthhthhhhhhthttthxhtthhxhthttththtxhhthhttthhtttthtthhtxtxhhhhhhhhhtxhthhhhth
Amir,100,1 EUR,Tails,hhhhttthtthhtthhthxhtthhhtxxhththttthhtththththhhtttthhhtththhhhhthththtttthhhhhtttththhtththththtxthhth
Amir,101,1 EUR,Heads,txthhhhhhtxthhhhhtxhthhhhxhhtththhxxhthhhxtxttttxttttxhhhtxxttthhtththhthththhttttththtthttxthhhxthxthtttxhhththhttt
Amir,102,1 EUR,Heads,txxtthtxhhhhhttthtthhhxxhhhthxtththhhhhhhhthtthhhhtttthtthththhhhxttthtthhthhttthxttthhhxhthhhhttxhtxxhhxhttthtth
Amir,103,1 EUR,Heads,thhttthttthhtttthtthxhhtthhthhthhxthhtttxthtthhtthhttxtxtttththhtthhthhthtthhthhxhthtxtthtxttthhtttthhhhthth
Amir,104,1 EUR,Heads,htxtthththtthttxxhhhhtthhxthhhhtttthhhhhthtththxhxhhxtttthhxthtttthhhhxtttthttthhhthhththhhxxhtxhxtthttththhtttht
Amir,105,1 EUR,Heads,htxhthxtttthhhththhthhxxhthtththhhhtthhhthhttthtthhtxhtththtthhhthhhtthtxhxhthtxhththhhtthtthttxththxhhhhhhttt
Amir,106,1 EUR,Heads,htthtxtttthhththtxhxhxxhthttthhtttttthhhxxtthhhhhxtxththxthhhhtthtthttthtxhhhtthththxhhhhhxhtthhhtxttthhhtthtxhhttt
Amir,107,1 EUR,Tails,hthhhttxhxtxhhhtxxthhxhhthxhtthhhxtxhxthhthhtxtthhthhhthhtthhxtxhhthhhhttxtxhthttthhhhttthhxhttxhxtthtxhhtththtxhtxththhxt
Amir,108,1 EUR,Heads,htththhhhtxhttttthtttthhhththtthtxttxthttthhthhhhhthththhxhxhhtthhhththhhhxhhhhhththtxhhhxthtthxttthxhhhttthht
Amir,109,1 EUR,Tails,hhtthtttthhxthttxhtxhththhthhhtttththhtxxhthththhhhhthhhxttthhxhtthhhththxhxhxtxttthhhhthtttthxthhhxhhtthtxtththtt
Amir,110,1 EUR,Tails,thhttthhhhthtthhhhhthhthtxhxhtttxhxthhhthththtxtttxhhhtttthtxhtxhxxhttththhhtthhththhhththtttthxhtthhhthttthtxtt
Amir,111,1 EUR,Tails,hxtthhxhhthhththtttttthhhhtxtthththththxthhhtthtxtthtthhhhhhxthtthhhhhhhhthtxhhththttthttxxtthththttthhhtthht
Amir,112,1 EUR,Tails,hhxttththhtthttthhhxththxthtxtxhttxhththtththxthhhthtxtttthtththhththhthhhhhtthtxhthttthththhttxhhtththhttthtt
Amir,113,1 EUR,Heads,xtthhtthtthtttthhxhxthtththhhxthtthhhtxhththtttxhhhtxxhhxhhtxxttxtthtthhthtthhhthxhtxhthhthxtttthhxthtxtthhhhttttttth
Amir,114,1 EUR,Heads,hthtthhtththtttthhtxthhttththttxthxhhthtxtxhttthtthtxthhhhhhtxtttttttttttthtxxhthtxtxxhtthhxxhttthhthttthhtthhhthh
Amir,115,1 EUR,Tails,hhthhhhthtttxhhtttthhtxtttthththttthhhxtththtttththtthxxtttxhththhttthhhhxhhtttthxhhtttthhhhhhtthhtthhhhttxhxt
Amir,116,1 EUR,Tails,httxhhhhththhtxtthtthxtthttthhxthhthttthtthhtttxxhtthxtthtthtxtthhhxtxhttthhhhthhhtxhttthttthhtthtthhhthhhhthht
Amir,117,1 EUR,Tails,ttxtththttthxxtxththhhthhhhthhthhthtxtthhhtthhhttxththtttthhthhhtxttthttttthhthhttttttthttththhhhththtththt
Amir,118,1 EUR,Heads,ttxhththhhtxhhthhtxhttxxthtthxhhtthtthxtthththhthttthttxhtthxhhtthtxhtxtxhhhhthhhhhhhhhthhhthtthhhthttthtttttttt
Amir,119,1 EUR,Tails,thhtthhhththhhhthhththhttthtthhthxhthhhttxthttxthxthhxtthhththxttthhhhttthtttxthhththxttxhtxhthhhhththhhhhthxth
Amir,120,1 EUR,Heads,thhhhtthhthhhttttthttttttthhhhhhththhhtththththhhtxhxxxttththhhthxhhxttttxththhhhthhtththxttttthhtxxhttthhhttt
Amir,121,0.5 EUR,Heads,hxtthhxhthttttxhxttthtxthtxtthtxhhtxhhthxhhhttxthhhhttthhthhthhxhthttxhtxtthhxxttthhhxtttthtthxxthtxhtxhthhttthhthttthtt
Amir,122,0.5 EUR,Tails,tthhtxhxhtxhthhhxthttthhxhhththtththhhthhhttthxhthhxtxttththhhhtttthhtththtxhtxthhttxhhthhthttththhthhhthttthht
Amir,123,0.5 EUR,Tails,tthxhthhthttthhhththhtthxtttxhttttxxhthhhhhhtxhhtxxhhhhxhttxhtthxhttttthhtthhhhthhthtthhxtthhththhthxhhththtthhht
Amir,124,0.5 EUR,Heads,hhtxhttthhhtthhhtthtthtthhhxhtththxtthhhhhthhhthhhtthhthhthtttxttthhhtththhthttttxhthhxttxhthtxhhtxhtththhxhht
Amir,125,0.5 EUR,Tails,txttthhthxtthhhhtthhhtthtthtththhxhtxhhttthththhthhhhhxhttththhxtthhtthxtthhhtttthttththhhxttththttthhththtt
Amir,126,0.5 EUR,Tails,thhthtxthhhxtthhhtthhthhthxtxxhtxtthhthtththhxhhtththxhhthhhhhhhtttthtthhhhthhhtthtxhththhtthhhthhhthttxtttxhtt
Amir,127,0.5 EUR,Heads,tthhhthtthtttttxhtththhhhhhhhtththhhtthhttxhttxtttthhttttttxhtxthhthhttthhhtththhtthhtxththhxxtttthhxhhhhthhh
Amir,128,0.5 EUR,Tails,txttxtthxhhttttthttththhtthhththhhxththththhxtthhhhhhttthhhthtttththttthtththxthtththhthtthtthhhhhtxtthxthhh
Amir,129,0.5 EUR,Tails,hhthtttxhhthtttthhhthhhxthhthtthhthtthhhhhxhthhthtxthttthththhhttthttxtttthhttttthtxttxhtxhhhhtthhhhhtththht
Amir,130,0.5 EUR,Tails,htttttthththhthtthhhhhhxththhhthttthxxhttxththttttthttthhhhtthhhxxthhttxthtthxtttxhthhthhtththhhxhhhxhhtthtthht
Amir,131,0.5 EUR,Heads,hthtttthhthhthhththhthxhxhhttthhthtththhtthhthhhthhhtthxttthtthtthttxthhxthhhhxxhtttthtttthhthhtthhxtthhhttxh
Amir,132,0.5 EUR,Heads,thhxhtthtttttththththxhhxxhththhhhtththttttthththhtttxthhhthtttthhtthtthhthhtttthxhthttthhttttttthhthtthht
Amir,133,0.5 EUR,Tails,ttthttthhhhhhhhttththhhthhttththhtththtthhhthtthhhhthxtxhthththttthththttttttthhtthhhxhhhxthtththhhhhtht
Amir,134,0.5 EUR,Heads,thhhttttxhhthtttthhtthtthxthhttthxhxththhthhhhththhthhhhtthxhttthtxthttxhtthtxtthxttthxhhtttthhhtxhtthhhtththth
Amir,135,0.5 EUR,Heads,htxttthtxtthtttthttttxththtxhthththxhxhhxhhthhtthhththhhthhthhxthhtthhttthhththhhtthhtthtttththttttthhhhthtt
Amir,136,0.5 EUR,Tails,thhtththhhthhtxhhhhhhtthhtththhttthhhthhthhhththtththhhthtttttxxhthxththhhththxthththxxtxhhtthttthhhhhhthhth
Amir,137,0.5 EUR,Heads,hhhhhtttththhhttthhhhthththtthtttthhthtxhthhthhhxtththxthhthtttxtttttxttxxhxxhhhtttthttthhthtththhtthhthhtttt
Amir,138,0.5 EUR,Tails,hthhxhtthththhthththxhthhhthxhtttttththtttxhhthxxhtthhhhthttthhhthhhthhhhhtthhhtxhthtxhttthhhhhthhhhhtthhhht
Amir,139,0.5 EUR,Heads,hhhhhhttttxtththhttththttthhthtxhhththhtthththxhhthhhhhttxhhttthhhhxthhththhtxtthhhhthtttttttxthtxhxthhxthhttt
Amir,140,0.5 EUR,Tails,tthhthhhtttthhttthtttxththttttthhhhhhhhttttttthhhttttthxthththhthtthththhthhhhhhttttthtthhhhhtxhttttttt
Amir,141,2 MAD,Heads,hhxththhhtttttxthhxttthhhhxtxtthhtxhxhhttththtthxhhhththxhhthhhththxtththhhttttttttxhtthhhhhtttttttthhtxththtttt
Amir,142,2 MAD,Heads,httttttthhthhhhhtthttthhhtthhhhhhhhhhtthhhtttttttthtthhtthhtthhththhtthththhtthhhtthhxhttthhttthtthhxt
Amir,143,2 MAD,Heads,hhhxthttthththhhhhhttthhththhhtttthttthththhhttththhhttttxhhtthtthtthhtthhxththhttttthhtthhhthttxhthttht
Amir,144,2 MAD,Tails,thtththhttthhhtxthtthtthtththtthttthhthhhtthhhttthttthhtththhthttthhthththhhtxtthhhhhhhtttthtttthththt
Amir,145,2 MAD,Tails,tthtttthhtthttthhtttthtttththhhhttttththtttthhttththhhtthhhtthththttththhxhxxttthhtthhhtthtthhttthxthhht
Amir,146,2 MAD,Heads,xtttthtxttthhhxhxxhttthttttthhttxtthxthhhtttthttthtthhtttttttttthhhthxhhthththhhhhhttxhxhtxhhttthhxthtthhtthttth
Amir,147,2 MAD,Heads,thththhtthttttthhhhttthhhttthhttthtthttthththhhtxhtththhthttththhhthhtthhhthhtthhttthtthhthtttthhthxht
Amir,148,2 MAD,Heads,hththtthhtthhxttthhttthttthhhhttxththhttttthhthhhtttxhtththhhthhhhththhthhtthxthhtthxhhhttthhthhtttthhhth
Amir,149,2 MAD,Tails,htththhhhhthhxhhhhtthhxthhhtxhxtthhhthhhhthhththhtxthhhhtthtttthhthhhtthhhttthhhtthhttttxhttthhththhthttxhh
Amir,150,2 MAD,Tails,tttthhhhhtthxtthhthtttthtththtttthhxhthhhhhhhttxhhhhhtthhhthttxtthhhhthhtthhhtthtthtttthxhthhhhhhthxthxttxhh
