Heads,1,50 cents (Euro),ttthxhttttttthttxhthtthxxhtttxhhhxhhhthhhhtthhhxhhxxttthhhhxxthhxhthhhxhhhttxthhhtxthxhttthtthhxhthtttxhhtxtxhhtxhhhhhtxtt;
Tails,2,50 cents (Euro),thtthhxhtthttththxxthhttxtthhhhthtxhhttththhhththtththhthhththtxxthtxthhxthhhhhhhhthhxhhhhttxtxtxttthhhhhhtttttxhxh;
Heads,3,50 cents (Euro),thhhhhthxttthtttttttxhtttxtthhhhhtthhhhhhhtttthhthxthxhhxxhttxtthtthtthxhhhttxttthhxhxttththhthhtthxtxthttttthhhhh;
Tails,4,50 cents (Euro),thhhtthhtthhthhtttttthhhxhhhhtthxhhhhttthhhtthtthhhhxhhhhttxttthttthhthtthhhxthhthtxthhhthtthhxhhhthhthhthh;
Heads,5,50 cents (Euro),ththtththhhtthhhhhttthhtthhttttththtttthhhtxthhtthhhthttthhtttthhthhxhxhttthhhthttttxtxtthhhhhhxhtthhxttthh;
Tails,6,50 cents (Euro),thxhxxhhtthtththhttthhhthhtttxttthtttttxttxtthtttthhttthtthtttthththhthxhhthtthhttttthttththhhtthttxhhxhhxtthh;
Tails,7,50 cents (Euro),thhhxhttththtthhhhhhhhtthhhhtttttthhhthhxttthtthtttthhhtttththhhhtttthttxtthxtxhthhhtttthttthttxhtthtttttt;
Heads,8,50 cents (Euro),httttthhtxxhththxtttthhtttttthtttttttxttthhtxthhthhtttthxxhthtthttxthhhthhhttxxxxttthhthtthxthxhttxhtthhxthtthtttxhht;
Tails,9,50 cents (Euro),hhthhtthththhttthxthtthttthxxthtthhtththhxthhthhhtxhhtthxxthtxthttthhhxhxtttthhhttttttxthhthhthhhttthxttthhttttt;
Tails,10,50 cents (Euro),hhthtththtththhxhhtxttthhthhhhtthtthhhthththhhththhthtthtxtththhhhhhhhtxhttxhxthttxtthxtxxtxtthhthhhxhhhttththhh;
Tails,11,50 cents (Euro),ttxttttxththhhththttthhhhhttthxxxtttthhhhhthhthttttxhtxthttthhhxtthttthtttthhhhthxhhttththttththhxhhhhhhtxhhxhxtt;
Heads,12,50 cents (Euro),tthhhhtthhtttttthtxhxxhhththhthhhhhttttttttthttttttthhhtththhhhhhtttthtthxhhthhhhtthhtthhhhhhhhthhhhttth;
Tails,13,50 cents (Euro),xhthhthtthxthtxtttthhtthtththtttxthhhhhhxhttxhhthxhtttthtxtthhthhhhhhhhhtxtttththhxxhthxthtttttxhhtthhxhhtxhtthhhhxxh;
Tails,14,50 cents (Euro),htthtthhtthhthhhhhhhthhttxtttthxhthhhtttttthxhthhttthtxhxhtxthxhhxttttxtthhtxtthhtxthhthxhtttxtthhxhhxtxhthhhhttxttth;
Heads,15,50 cents (Euro),ttthththxtththtxhthtttthtththhhtthhhhttttxxttxttthttthtthhhhhhtttttxhhxthhthtthhhtthhtthxxtxhtthtthhxhtttththhxh;
Tails,16,50 cents (Euro),tttxthhttthhhtxthhhtxtttttththhhxtthhhxthhtthhhhtxtthtxhhtthhhthttxhthtthhhhhhhhxhttthhxhttthhtthhhhxhhxhhhhthtt;
Heads,17,50 cents (Euro),tttxtthhhththhxhtxthxtttxtthxhtttttxhxthtttxthhthxtthhhhhhxhthhttxthttxtttttthxtxhhthxhtthhttttxhhxhthhhhhxxhhththththth;
Tails,18,50 cents (Euro),xhxthttthhththtxhthhttttttthhttththththhhtthhhthxttthhhxhxhxhtttttxththhtttttthtththhhhxhhhhhtthhhhhthxhttthtt;
Heads,19,50 cents (Euro),ttthhhxxhxhthtththhhttxtthttxhhtthhxhtthhthhhhthhhhhxhhhhhhhthhtxtxhthtthhhhhxthhthttttththtthtthhhhtxhxhhthtthh;
Tails,20,50 cents (Euro),ttthththttthhthhtxhhhhhhttthhhhthhhhttthhhxhththhhththtththththttxttttthhxtttttthththtthhhhthtththhxhthhh;
Heads,21,50 cents (Euro),hhhtthtttxthththtttthhhhhthhtxtththtthhttttttthtttxhhthhhttxhhthhxhtththxhthhhhttxttttttxhhhtttthxhhhhtthttht;
Heads,22,50 cents (Euro),xttthhthhttttttttxttthxhththhthhhxhthhhhhhhthhhhhhttthhxthxtthtttththhthhhhhhtthhtththhhthhhhhhxhhxhthtxthhhh;
Tails,23,50 cents (Euro),thhhhtthttththtxxttttthttttthhtthhhhttttthtttththhhhxthtxthttxtthtthttththxhhhthxhhhttttthhhthtttthxthttthhh;
Tails,24,50 cents (Euro),htthhhhthhthhhthhxthhtthxttttthhhhhhhthhhttthttthttththtthtthhttxhthhttthttxhhhhtthtttththttttxhhhthtthxhh;
Heads,25,50 cents (Euro),ttthtththhxxhhthhxthhththhhhtttxththhhttthhhhthhthhxhxthhththtthttttxhhtttxxttxthttttthhtththththxttxthhhthhhtxth;
Tails,26,50 cents (Euro),thhhtxhttthtthhthhthxththtthtthttthhttxtthxhthhtxhxtttthhthttththhththhxtththhhththxhhhttxttthtthxhhhthhthhtth;
Heads,27,50 cents (Euro),hhtthtxhtthhhhhhtttthtttththtttxhhthththhhhhhthththtththhthxthhtthtxhtttthttthhtxththththhhththththththth;
Tails,28,50 cents (Euro),hhttthhhththtxhttttthhhhthhhhhhthtxttttthhxhhhttthhhhttxhhhthhhhttxhxhhtttxhxththhthtxhttththhhthtthtthtxhthtt;
Tails,29,50 cents (Euro),hhttxthtttthhththtththhxhtxthtttttthhhththtxhhhtxhxtxthhthtttxhttththxhthttththhthtthththttxhxhhhthththhhttthth;
Tails,30,50 cents (Euro),htthtthththhthhthhthhhtxhthttxhtxththtthhttthtthhtttthhhththtthhthhhththhhhxthttthtthttthxhhttthththhhxhtt;
Tails,31,50 cents (Euro),hthhhhthhthhtthtthhthththhtttthtthxtthhthtthhhthxhtthtxhhtxthtthxttthhththttthththhtxttxththhhhhthxhththtxhht;
Tails,32,50 cents (Euro),hthhhhhhhtthththtthhththtthhththththtththththttxtthhhhtxttttthhxtththhhthttthhthtttththththtththhtthxthh;
Heads,33,50 cents (Euro),tthhxhthhxthtthhthtttthththttttttthththxthhhthhhhthttththttxtxththtthththhhhhhhhhhhhhhhhtttttttththhhhhtht;
Tails,34,50 cents (Euro),tthhxxhhttttthtthhhttxttttxttthhtxhhhthhthhttxttxhttthhththttttththhxthhhththtththtthhtxhthttthtxththttthhxhhhxh;
Heads,35,50 cents (Euro),htththxthtttthhhtxttthtttthhhhtththxhxxthhtthxtttttthtthhhhhhhtthtttthththththxxhtththhtthtxttthhthttthhtxhtxtt;
Tails,36,50 cents (Euro),htthhthtthtxtthttttthhththttttttththhtttthhhhtthhhhhttththxthhhtttthttxttxtttthhhhtxthxthhhhthhtttxhhtxthtxtt;
Heads,37,50 cents (Euro),xthtthtxhhttthhhthhhtthhhttthttxttxtxtttxxttxthxtththhhhthtttttthtthhthhtttxttxtxhhhttthtttttththxhthhttttttttthtt;
Tails,38,50 cents (Euro),tttthtthhhhhxxthxtttxhtthhhttxthhttxhtthhhtthhthttttttxhtttxhtttthththtthhtttxthttthhthhxththhthxthxthtthhhxhhhhh;
Heads,39,50 cents (Euro),tttthtttttthhhthhhxthtttthxhhxttxttthhhhhthtththhttthhhtxttxhhhtxttththhhhhthtthththhxttthhhtxhhthtththtthhxtt;
Tails,40,50 cents (Euro),ttttttthhhhhhtthtththhhtthxthtttthththxhtthtthtththtthtthhhtththxhhhxtthxttttthhhhhhhttttxthhhhtxthhtthtttt;
Tails,41,50 cents (Euro),tthttttxthxhhhhthhhttttthhtthhttttthththxthththhhthhttxhthxtxhhthxthhhthhhttthtthxhhhhhxtthxtxthhthhhhxxhthhhhhth;
Heads,42,50 cents (Euro),httttxhttttttttthhhtthttthxhhhtxthhhhttxxhttttxhhhhhhhhxhhhxhhttttttxhthhhxhtthhhtthhttttttthtxhhtttttxttxhhxhhthxt;
Tails,43,50 cents (Euro),htththhtxhthhhhhxhhthhhxhttttxtthhhthttttttththtthhxhhxhtttxhhttthhhhthhtttthtthhttxtttthhtththhthtttxtxxxtxxtxxxhhhxt;
Tails,44,50 cents (Euro),tthtththtxtthhhtthxhtxththhthhhhttthttttthxhhthhhxxhhhhtttxhxhtthththttththxthxtttxttttththththhhhhthhththhhhth;
Heads,45,50 cents (Euro),thhttttxhhhhhtttttthhxthttttththtxhtthtttthxhtthtthhhththtxtthhhtthhtthhhthhhtthtththhthttxhhhtthhhtthhhtt;
Tails,46,50 cents (Euro),ttttxtthhhhthhthhhhhhhhththhhhhhtthhttxhtthhthhhxhttthhhhhxhhhtttttxtttxhthxtttthtxhtthhtthttxhththhhxhthxttthh;
Tails,47,50 cents (Euro),tththhhttthxhththtthththtthttththxtttxtttthttttthththxtthttttthhthxtthxttththhththhttthtttttthhththttthhxhh;
Heads,48,50 cents (Euro),xhhhhhtttttttttxththhhhthtttthtththhttxhthhhxthhttttthttthththhttththhhhhhthhtttthtttttxtxthtthtthxhthhtthh;
Heads,49,50 cents (Euro),thhhttthhthxhhttxhtthhtthhhthhtthhhtxhttttttttththtxtthxtthhhhttxthhhtthhhhthhtthhtthhhhhttthtththhhttthhh;
Heads,50,50 cents (Euro),thhttttxhhtxhhthththhthhtthhhtthtxhthhthxthxhhtttxtxttthhttxththtthhtttthxxththhhtthhhhthtththhthxhhhhhhhhhthtt;
Heads,51,50 cents (Euro),hhhttththhthtttthhhhtttxhhttthhtthtxtthhtthhttttthhhhxthhxthhxtthhtthhtxthtxhthtththttththtttththhhttttthht;
Heads,52,50 cents (Euro),hhthhhhhtthttxhhttttthhxtthttthththhthththhhhhhttttxtxtxtthhtththxhtthttthhhhhthhhttttththhthttthhtthtxxtthh;
Heads,53,50 cents (Euro),thhttthhhtthhhhhttthhhhhthhthhhhhhhththttthtthttthhthhhhthhtthttthhthhttthhthhhhxhhxthththhthhhtxhttthtt;
Tails,54,50 cents (Euro),thttththttthhtththtthhthttthtttthhththhththtxxhttthhhttttxhthhththhthtxhhtthxhhththxhhxhthhhtxhhttthtthht;
Tails,55,50 cents (Euro),hhhttththttthhttttthtthxttththhhttthhtttthhhtnhttthttthhthxtttthxhthtxhttttttxhhththxthhhtxththtttthhttthh;
Heads,56,50 cents (Euro),thhththhthhttthhhtttthtthtthtthhthxthhhththhhhhhhhtthtththhhhthhthxhhhhtttthththhthtthttttthtthtttth;
Tails,57,50 cents (Euro),htthhhtthtxhhhhhttttthththhthtthhttthhthhhhhhhthttthththhhttxthhhthhhhtthhtththttttthtthtthxxhtthththhxtt;
Tails,59,50 cents (Euro),xtxhhtttthxhthhhtththhhthththtthhtthtxhhxtttthhhtthhthxhtttxhttthhttttxhtththhhttthtthxtxthxhhhthhhthtttxthhhtxxht;
Heads,60,50 cents (Euro),htttththttthhtxhhhttthhtttxhxhhhtthxtttxhhxhtttthttxthhtxhthttxhthhthhththhxtttthhhttxthhtttthhhthhhhhtxtttxthxtht;
Heads,62,50 cents (Euro),hthhhxttxtttththtththhhhthttxthhtthhtttttthhhttthhthhhhxhtthxtttthththttttthtxthxhtttttxtthhhthththhtththxhhhh;
Heads,63,50 cents (Euro),hhxhttxhhhthhhttthtttxhthtxtthtthtxththhhhthhhtxhtthhhhxhthhtthtthxhhtttxttxthhtthtthxhttttxhtthhhhtthxtthttttxhhtt;
Heads,64,50 cents (Euro),txtttthhtthhxhthhhttthhthxhxthhhthhthxhttxhthhhtthhhtthttthhtxhttthhhhhtthtttthxhthhxthththtthtttthhhxhhhtttht;
Heads,65,50 cents (Euro),thtthhthhtxttttthhtthtxttttxhtthhhththhhthhthhhtthhhtthttthhtttththtththhxththhxttttthhhxhhhhttthhhhhhtxtth;
Tails,66,50 cents (Euro),hhhtththtxttththhtthhtxhtthhhhthhxhhhhhhhtthhthththxhhhthtthtthhthtththtttttthtthttxtthhhthhxhthhxtttttthtt;
Tails,67,50 cents (Euro),xthttthhhhhhtththhhhthhttthxththtxttthhttxttttthhhxhthhtttthhtxhhxththtthhtxthhhtttthhhhhhhhttxtxthhhthhhhhhtt;
Tails,68,50 cents (Euro),ttttttthhxhthtthhthhhhhthhttthtththhthhhhhttthxththththhhthxhhtthtxthhtxhhhhtthtttxththhhttttthhhhhhtxtthth;
Tails,69,50 cents (Euro),hhtttthhhthththhhthxhhhttthhhththththhtttththhhxththtttxhhxhhtthhththhhhtxhthxtttxtthhththttxhtttthhtthxtthhh;
Tails,70,50 cents (Euro),htttthtthtxhttxthhtttxhththtxhhhhhttthhtththththttthhhhhthhthhhhhtthhhtthhhthtttxhhtxthhhthtthththxhxhthhhxht;
Heads,71,50 cents (Euro),xhhhhtthhhxhhhtttthhthhhhtxttttthhthxxhtthttthtxtththtttxtttththhhhhhhhhhthhxtthtthhtthhhhtththhthhhthhtttxht;
Tails,72,50 cents (Euro),tttthxhhthtthhhtttttthttththhhhhtxthththtthhhtthhhhthtxtthhthxhthhthxttttthtxhtxhttthttththhhthththhhhhthth;
Heads,73,50 cents (Euro),hhhhthhhhhhhhhxtthtxhxhhthtxttththththxtxhthxhththttttthhhhtthhttttxhxthhhththxhthhhtttththxtttthhxthhhtttttthtt;
