"X","y","m","person","coin","group","total","total_category"
0,244,485,"frantisekB","20DEM-silver","top-up",485,"100-500"
1,260,505,"frantisekB","1CZK","top-up",505,"500-1000"
2,209,469,"frantisekB","5CZK","top-up",469,"100-500"
3,530,1021,"frantisekB","0.25USD","top-up",1021,"1000-2000"
4,533,1039,"frantisekB","10CZK","top-up",1039,"1000-2000"
5,745,1493,"frantisekB","0.50EUR","top-up",1493,"1000-2000"
6,975,1948,"frantisekB","1EUR","top-up",1948,"1000-2000"
7,2132,4262,"ingeborgR","2HRK","marathon",4262,">=2000"
8,2215,4177,"alexandraS","1MXN","top-up",4177,">=2000"
9,1769,3463,"madlenH","0.50EUR","marathon",3463,">=2000"
10,2349,4624,"henrikG","2EUR","marathon-PhD",4624,">=2000"
11,1875,3645,"adamF","5ZAR","marathon",3645,">=2000"
12,301,528,"adamF","0.05EUR","marathon",528,"500-1000"
13,1467,2922,"jillR","0.20EUR","marathon",2922,">=2000"
14,152,298,"jillR","0.20GEL","marathon",298,"100-500"
15,1517,2988,"jonasP","0.20GEL","marathon-PhD",2988,">=2000"
16,386,769,"pierreG","1CHF","bachelor",769,"500-1000"
17,384,756,"pierreG","5CZK","bachelor",756,"500-1000"
18,381,758,"pierreG","1CNY","bachelor",758,"500-1000"
19,380,751,"pierreG","100JPY","bachelor",751,"500-1000"
20,376,747,"pierreG","5JPY","bachelor",747,"500-1000"
21,769,1521,"pierreG","2CHF","bachelor",1521,"1000-2000"
22,364,734,"pierreG","2EUR","bachelor",734,"500-1000"
23,395,768,"pierreG","1EUR","bachelor",768,"500-1000"
24,390,770,"pierreG","0.50EUR","bachelor",770,"500-1000"
25,514,1006,"amirS","5MAD","bachelor",1006,"1000-2000"
26,762,1503,"amirS","2MAD","bachelor",1503,"1000-2000"
27,505,1015,"amirS","1MAD","bachelor",1015,"1000-2000"
28,495,984,"amirS","0.05NZD","bachelor",984,"500-1000"
29,752,1519,"amirS","0.50EUR","bachelor",1519,"1000-2000"
30,728,1508,"amirS","1EUR","bachelor",1508,"1000-2000"
31,687,1355,"davidV","0.20EUR","bachelor",1355,"1000-2000"
32,752,1476,"davidV","1EUR","bachelor",1476,"1000-2000"
33,802,1571,"davidV","0.05EUR","bachelor",1571,"1000-2000"
34,449,874,"davidV","0.50EUR","bachelor",874,"500-1000"
35,862,1756,"davidV","0.10EUR","bachelor",1756,"1000-2000"
36,342,720,"kaleemU","2EUR","bachelor",720,"500-1000"
37,416,871,"kaleemU","1EUR","bachelor",871,"500-1000"
38,503,1008,"kaleemU","0.50EUR","bachelor",1008,"1000-2000"
39,188,363,"irmaT","1EUR","bachelor",363,"100-500"
40,623,1257,"kaleemU","0.20EUR","bachelor",1257,"1000-2000"
41,380,751,"kaleemU","0.10EUR","bachelor",751,"500-1000"
42,504,1025,"kaleemU","0.20GBP","bachelor",1025,"1000-2000"
43,382,765,"kaleemU","0.50GBP","bachelor",765,"500-1000"
44,356,735,"kaleemU","2CHF","bachelor",735,"500-1000"
45,3903,7456,"davidKL","1SGD","bachelor",7456,">=2000"
46,483,949,"AaronLob","1EUR","marathon-MSc",949,"500-1000"
47,778,1502,"AaronLob","2EUR","marathon-MSc",1502,"1000-2000"
48,265,511,"AaronLob","0.20EUR","marathon-MSc",511,"500-1000"
49,285,525,"AaronLob","1DEM","marathon-MSc",525,"500-1000"
50,126,248,"AaronLob","0.50EUR","marathon-MSc",248,"100-500"
51,491,939,"AdrianKarami","0.20EUR","marathon-MSc",939,"500-1000"
52,241,491,"AdrianKarami","2EUR","marathon-MSc",491,"100-500"
53,148,273,"AdrianKarami","1GBP","marathon-MSc",273,"100-500"
54,247,494,"alexandraS","1EUR","top-up",494,"100-500"
55,249,501,"alexandraS","1DEM","top-up",501,"500-1000"
56,758,1504,"alexandraS","2EUR","top-up",1504,"1000-2000"
57,259,501,"alexandraS","1CAD","top-up",501,"500-1000"
58,289,530,"alexandraS","10CZK","top-up",530,"500-1000"
59,284,521,"alexandraS","0.50EUR","top-up",521,"500-1000"
60,255,502,"alexandraS","0.20EUR","top-up",502,"500-1000"
61,243,461,"AndreeaZetea","0.25USD","marathon-MSc",461,"100-500"
62,276,532,"AndreeaZetea","0.05EUR","marathon-MSc",532,"500-1000"
63,381,784,"AndreeaZetea","2EUR","marathon-MSc",784,"500-1000"
64,229,491,"AndreeaZetea","0.50RON","marathon-MSc",491,"100-500"
65,244,460,"ArneJohn","5SEK","marathon-MSc",460,"100-500"
66,248,499,"ArneJohn","2EUR","marathon-MSc",499,"100-500"
67,265,513,"ArneJohn","1EUR","marathon-MSc",513,"500-1000"
68,238,504,"ArneJohn","0.50EUR","marathon-MSc",504,"500-1000"
69,224,445,"BohanFu","0.50EUR","marathon-MSc",445,"100-500"
70,278,516,"BohanFu","0.20EUR","marathon-MSc",516,"500-1000"
71,78,157,"BohanFu","0.02EUR","marathon-MSc",157,"100-500"
72,206,427,"EJ","2EUR","marathon-MSc",427,"100-500"
73,243,487,"EJ","1EUR","marathon-MSc",487,"100-500"
74,245,504,"EJ","0.50EUR","marathon-MSc",504,"500-1000"
75,275,521,"EJ","0.20EUR","marathon-MSc",521,"500-1000"
76,43,87,"EJ","50CZK","marathon-MSc",87,"<100"
77,655,1299,"frantisekB","1CAD","top-up",1299,"1000-2000"
78,253,491,"frantisekB","0.20EUR","top-up",491,"100-500"
79,415,798,"frantisekB","50CZK","top-up",798,"500-1000"
80,240,439,"FranziskaAssion","1EUR","marathon-MSc",439,"100-500"
81,241,466,"FranziskaAssion","1DEM","marathon-MSc",466,"100-500"
82,261,492,"FranziskaAssion","0.20EUR","marathon-MSc",492,"100-500"
83,248,462,"FranziskaAssion","2EUR","marathon-MSc",462,"100-500"
84,215,428,"HannahArmstrong","2CAD","marathon-MSc",428,"100-500"
85,233,478,"HannahArmstrong","2EUR","marathon-MSc",478,"100-500"
86,233,487,"HannahArmstrong","1CAD","marathon-MSc",487,"100-500"
87,23,47,"HannahArmstrong","0.25CAD","marathon-MSc",47,"<100"
88,261,509,"henrikG","1EUR","marathon-PhD",509,"500-1000"
89,566,1056,"henrikG","10CZK","marathon-PhD",1056,"1000-2000"
90,235,492,"henrikG","1DEM","marathon-PhD",492,"100-500"
91,235,497,"henrikG","0.01GBP","marathon-PhD",497,"100-500"
92,253,512,"henrikG","50CZK","marathon-PhD",512,"500-1000"
93,279,454,"JanYang","0.50EUR","marathon-MSc",454,"100-500"
94,231,423,"JanYang","0.20EUR","marathon-MSc",423,"100-500"
95,245,467,"JoycePang","0.50SGD","marathon-MSc",467,"100-500"
96,250,510,"JoycePang","0.20EUR","marathon-MSc",510,"500-1000"
97,93,199,"JoycePang","1SGD","marathon-MSc",199,"100-500"
98,223,433,"MagdaMatetovici","0.50RON","marathon-MSc",433,"100-500"
99,256,508,"MagdaMatetovici","0.50EUR","marathon-MSc",508,"500-1000"
100,241,488,"MagdaMatetovici","5SEK","marathon-MSc",488,"100-500"
101,262,499,"MagdaMatetovici","2CAD","marathon-MSc",499,"100-500"
102,233,481,"MagdaMatetovici","2EUR","marathon-MSc",481,"100-500"
103,29,48,"MagdaMatetovici","1CAD","marathon-MSc",48,"<100"
104,244,467,"MaraBialas","2EUR","marathon-MSc",467,"100-500"
105,253,473,"MaraBialas","0.50EUR","marathon-MSc",473,"100-500"
106,231,452,"MaraBialas","10CZK","marathon-MSc",452,"100-500"
107,228,438,"RoyMichaelMoore","0.20EUR","marathon-MSc",438,"100-500"
108,244,479,"RoyMichaelMoore","1EUR","marathon-MSc",479,"100-500"
109,254,488,"RoyMichaelMoore","0.50EUR","marathon-MSc",488,"100-500"
110,245,504,"RoyMichaelMoore","2EUR","marathon-MSc",504,"500-1000"
111,264,521,"SjoerdTerpstra","0.50RON","marathon-MSc",521,"500-1000"
112,251,505,"SjoerdTerpstra","0.50EUR","marathon-MSc",505,"500-1000"
113,252,499,"SjoerdTerpstra","2EUR","marathon-MSc",499,"100-500"
114,247,495,"SjoerdTerpstra","1CAD","marathon-MSc",495,"100-500"
115,277,514,"SjoerdTerpstra","5SEK","marathon-MSc",514,"500-1000"
116,244,461,"TheresaLeidinger","2EUR","marathon-MSc",461,"100-500"
117,301,573,"TheresaLeidinger","2CAD","marathon-MSc",573,"500-1000"
118,206,436,"TheresaLeidinger","0.25USD","marathon-MSc",436,"100-500"
119,144,290,"TheresaLeidinger","1CAD","marathon-MSc",290,"100-500"
120,271,463,"TianqiPeng","1EUR","marathon-MSc",463,"100-500"
121,257,448,"TianqiPeng","0.20EUR","marathon-MSc",448,"100-500"
122,252,430,"TianqiPeng","0.50EUR","marathon-MSc",430,"100-500"
123,240,460,"TingPan","2EUR","marathon-MSc",460,"100-500"
124,316,549,"TingPan","0.50SGD","marathon-MSc",549,"500-1000"
125,224,472,"TingPan","0.05EUR","marathon-MSc",472,"100-500"
126,75,146,"TingPan","1EUR","marathon-MSc",146,"100-500"
127,236,444,"VincentOtt","1EUR","marathon-MSc",444,"100-500"
128,232,468,"VincentOtt","2EUR","marathon-MSc",468,"100-500"
129,210,467,"VincentOtt","0.50EUR","marathon-MSc",467,"100-500"
130,242,491,"VincentOtt","0.20GBP","marathon-MSc",491,"100-500"
131,223,483,"VincentOtt","1DEM","marathon-MSc",483,"100-500"
132,247,436,"XiaochangZhao","0.50SGD","marathon-MSc",436,"100-500"
133,260,494,"XiaochangZhao","0.50EUR","marathon-MSc",494,"100-500"
134,236,478,"XiaochangZhao","0.20EUR","marathon-MSc",478,"100-500"
135,158,301,"XiaochangZhao","2EUR","marathon-MSc",301,"100-500"
136,188,440,"XiaoyiLin","0.50EUR","marathon-MSc",440,"100-500"
137,187,349,"XiaoyiLin","0.20EUR","marathon-MSc",349,"100-500"
138,278,522,"frantisekB","0.20GEL","top-up",522,"500-1000"
139,221,442,"henrikG","1CAD","marathon-PhD",442,"100-500"
140,262,519,"henrikG","0.50EUR","marathon-PhD",519,"500-1000"
141,255,497,"JasonNak","0.20EUR","marathon-PhD",497,"100-500"
142,272,517,"JasonNak","0.10EUR","marathon-PhD",517,"500-1000"
143,261,513,"JasonNak","1CAD","marathon-PhD",513,"500-1000"
144,239,497,"JasonNak","2EUR","marathon-PhD",497,"100-500"
145,230,499,"JasonNak","0.50EUR","marathon-PhD",499,"100-500"
146,261,495,"JasonNak","10CZK","marathon-PhD",495,"100-500"
147,174,346,"JasonNak","50CZK","marathon-PhD",346,"100-500"
148,278,525,"jonasP","0.50EUR","marathon-PhD",525,"500-1000"
149,257,506,"jonasP","1CAD","marathon-PhD",506,"500-1000"
150,248,495,"jonasP","10CZK","marathon-PhD",495,"100-500"
151,246,490,"jonasP","2EUR","marathon-PhD",490,"100-500"
152,253,501,"KarolineH","1EUR","marathon-PhD",501,"500-1000"
153,225,472,"KarolineH","50CZK","marathon-PhD",472,"100-500"
154,511,1008,"KarolineH","2EUR","marathon-PhD",1008,"1000-2000"
155,243,502,"KarolineH","10CZK","marathon-PhD",502,"500-1000"
156,138,257,"KarolineH","0.25USD","marathon-PhD",257,"100-500"
157,260,517,"KatharinaKarnbach","1CHF","marathon-PhD",517,"500-1000"
158,269,520,"KatharinaKarnbach","1GBP","marathon-PhD",520,"500-1000"
159,266,512,"KatharinaKarnbach","0.50EUR","marathon-PhD",512,"500-1000"
160,254,491,"KatharinaKarnbach","1EUR","marathon-PhD",491,"100-500"
161,87,188,"KatharinaKarnbach","2EUR","marathon-PhD",188,"100-500"
162,267,505,"KoenDerks","0.50EUR","marathon-PhD",505,"500-1000"
163,252,496,"KoenDerks","0.20EUR","marathon-PhD",496,"100-500"
164,250,496,"KoenDerks","2EUR","marathon-PhD",496,"100-500"
165,221,472,"KoenDerks","1EUR","marathon-PhD",472,"100-500"
166,266,491,"KoenDerks","1CAD","marathon-PhD",491,"100-500"
167,273,511,"KoenDerks","0.10EUR","marathon-PhD",511,"500-1000"
168,93,192,"KoenDerks","0.20GEL","marathon-PhD",192,"100-500"
169,253,501,"MichelleDonzallaz","2EUR","marathon-PhD",501,"500-1000"
170,263,497,"MichelleDonzallaz","50CZK","marathon-PhD",497,"100-500"
171,262,506,"MichelleDonzallaz","0.50EUR","marathon-PhD",506,"500-1000"
172,262,496,"MichelleDonzallaz","1EUR","marathon-PhD",496,"100-500"
173,78,157,"MichelleDonzallaz","0.05EUR","marathon-PhD",157,"100-500"
174,269,511,"RietvanBork","0.05EUR","marathon-PhD",511,"500-1000"
175,238,485,"RietvanBork","1CHF","marathon-PhD",485,"100-500"
176,248,503,"RietvanBork","0.20GEL","marathon-PhD",503,"500-1000"
177,121,277,"RietvanBork","0.50EUR","marathon-PhD",277,"100-500"
178,237,476,"ThomasBastelica","0.10EUR","marathon-PhD",476,"100-500"
179,230,482,"ThomasBastelica","2EUR","marathon-PhD",482,"100-500"
180,251,501,"ThomasBastelica","50CZK","marathon-PhD",501,"500-1000"
181,224,472,"ThomasBastelica","1CHF","marathon-PhD",472,"100-500"
182,279,517,"ThomasBastelica","1CAD","marathon-PhD",517,"500-1000"
183,1269,2481,"AntonZoubek","0.50EUR","marathon-Manheim",2481,">=2000"
184,1318,2578,"AntonZoubek","5SEK","marathon-Manheim",2578,">=2000"
185,510,1021,"ChrisGabrielIslam","5JPY","marathon-Manheim",1021,"1000-2000"
186,523,1012,"ChrisGabrielIslam","2BDT","marathon-Manheim",1012,"1000-2000"
187,506,1003,"ChrisGabrielIslam","0.10RON","marathon-Manheim",1003,"1000-2000"
188,525,1030,"ChrisGabrielIslam","1EUR","marathon-Manheim",1030,"1000-2000"
189,482,995,"ChrisGabrielIslam","5SEK","marathon-Manheim",995,"500-1000"
190,500,982,"MalteZoubek","1EUR","marathon-Manheim",982,"500-1000"
191,540,1024,"MalteZoubek","2BDT","marathon-Manheim",1024,"1000-2000"
192,251,510,"MalteZoubek","0.50EUR","marathon-Manheim",510,"500-1000"
193,260,523,"MalteZoubek","0.20CHF","marathon-Manheim",523,"500-1000"
194,758,1507,"MalteZoubek","5SEK","marathon-Manheim",1507,"1000-2000"
195,262,504,"MalteZoubek","2ILS","marathon-Manheim",504,"500-1000"
196,260,507,"MalteZoubek","0.25BRL","marathon-Manheim",507,"500-1000"
197,1073,2086,"SaraShabani","1EUR","marathon-Manheim",2086,">=2000"
198,802,1526,"SaraShabani","5SEK","marathon-Manheim",1526,"1000-2000"
199,740,1495,"SaraShabani","0.25BRL","marathon-Manheim",1495,"1000-2000"
200,637,1336,"FelipeFontanaVieira","0.50EUR","internet",1336,"1000-2000"
201,276,590,"FelipeFontanaVieira","1EUR","internet",590,"500-1000"
202,1589,3103,"FelipeFontanaVieira","2EUR","internet",3103,">=2000"
203,2095,4220,"FranziskaNippold","0.50EUR","internet",4220,">=2000"
204,256,539,"FranziskaNippold","0.20EUR","internet",539,"500-1000"
205,283,546,"FranziskaNippold","2INR","internet",546,"500-1000"
206,517,1084,"FrederikAust","0.50EUR","internet",1084,"1000-2000"
207,782,1626,"FrederikAust","2EUR","internet",1626,"1000-2000"
208,233,478,"FrederikAust","1EUR","internet",478,"100-500"
209,775,1523,"FrederikAust","0.20EUR","internet",1523,"1000-2000"
210,257,496,"FrederikAust","0.10EUR","internet",496,"100-500"
